Staphylococcus test positive,,,,
Abortion spontaneous,,,,
Muscle fatigue,muscle_weakness,fatigue,muscle_wasting,
Benign neoplasm,,,,
Sense of oppression,,,,
Q fever,high_fever,,,
Implant site reaction,,,,
Bladder hypertrophy,,,,
Post transplant distal limb syndrome,,,,
Decubitus ulcer,,,,
Polydipsia,,,,
Drug-induced liver injury,,,,
Myocarditis toxoplasmal,,,,
Macular cyst,,,,
Toxic skin eruption,nodal_skin_eruptions,,,
Implant site swelling,,,,
Pneumonia viral,,,,
Male reproductive tract disorder,,,,
Kidney perforation,,,,
Fungating wound,,,,
CNS ventriculitis,,,,
High density lipoprotein increased,,,,
Vulvovaginal dryness,,,,
Blood calcium decreased,,,,
Scrotal abscess,,,,
Right hemisphere deficit syndrome,,,,
Lymphocytic infiltration,,,,
Herpes oesophagitis,,,,
Adrenalitis,,,,
Aural polyp,,,,
Wrong technique in device usage process,,,,
Application site pain,,,,
Gastroenteritis Escherichia coli,,,,
Vaginal discharge,,,,
Blood urea increased,,,,
Dyspraxia,,,,
Blue toe syndrome,,,,
Transplant failure,,,,
Adrenergic syndrome,,,,
Exposure via partner,,,,
Enzyme level decreased,,,,
Pulmonary arterial pressure increased,,,,
Congenital anomaly,,,,
Nasal turbinate abnormality,,,,
Colonoscopy abnormal,,,,
Toxic cardiomyopathy,,,,
Breast disorder female,,,,
Intraductal proliferative breast lesion,,,,
Reaction to preservatives,,,,
Trichotillomania,,,,
Sleep deficit,,,,
Thymic cancer metastatic,,,,
Radiation pneumonitis,,,,
Melanoma recurrent,,,,
Macrosomia,,,,
Electrocardiogram PR shortened,,,,
Precancerous mucosal lesion,,,,
Mononeuropathy multiplex,,,,
Cell-mediated cytotoxicity,,,,
Vitamin A increased,,,,
Sensorimotor disorder,,,,
Uterine enlargement,,,,
Pupillary light reflex tests abnormal,,,,
Dependence,,,,
Action tremor,,,,
Subcutaneous abscess,,,,
Hypoalbuminaemia,,,,
Mobility decreased,,,,
Proctocolectomy,,,,
Eustachian tube dysfunction,,,,
Nasal neoplasm,,,,
Richter's syndrome,,,,
Human papilloma virus test positive,,,,
Leukaemoid reaction,,,,
Sinusitis noninfective,,,,
Gastrointestinal mucosa hyperaemia,,,,
Blood urea decreased,,,,
Rhesus incompatibility,,,,
Necrotising myositis,,,,
Transferrin decreased,,,,
Oesophageal disorder,,,,
Sleep terror,,,,
Benign neoplasm of scrotum,,,,
Reversible cerebral vasoconstriction syndrome,,,,
Ocular lymphoma,,,,
Liver transplant failure,,,,
Ultrasound liver abnormal,,,,
Tongue neoplasm,,,,
Adenoiditis,,,,
Depression,depression,,,
Injection site deformation,,,,
Postoperative hypertension,,,,
Herpes simplex,,,,
Growth of eyelashes,,,,
Pneumonia staphylococcal,,,,
Pleurisy,,,,
Vertigo CNS origin,spinning_movements,loss_of_balance,,
Postmenopausal haemorrhage,,,,
Lymphangitis,,,,
Dysstasia,,,,
Muscle strength abnormal,muscle_wasting,,,
Septic arthritis streptococcal,,,,
Repetitive strain injury,,,,
Non-infectious endophthalmitis,,,,
Breast atrophy,,,,
Penile discharge,,,,
Ureterolithiasis,,,,
Otitis media,,,,
Learning disorder,,,,
Cellulitis gangrenous,,,,
Incision site inflammation,,,,
Frequent bowel movements,,,,
Arteriovenous fistula,,,,
Myocardial calcification,,,,
Atopic cough,cough,,,
Factor V deficiency,,,,
Norovirus test positive,,,,
Nikolsky's sign,,,,
Conjunctivalisation,,,,
Univentricular heart,,,,
Rickets,,,,
Medical device site extravasation,,,,
Product impurity,,,,
Creatinine renal clearance decreased,,,,
Livedo reticularis,,,,
Exercise electrocardiogram abnormal,,,,
Hypoxia,,,,
Bladder transitional cell carcinoma recurrent,,,,
Angiosarcoma metastatic,,,,
Catheter site discolouration,,,,
Fallopian tube abscess,,,,
Obstruction,,,,
Congenital muscle absence,,,,
Injection site infection,,,,
Lethargy,lethargy,,,
Portal vein embolism,,,,
Ischaemic hepatitis,,,,
Intermittent claudication,,,,
Pulmonary veno-occlusive disease,,,,
End stage renal disease,,,,
Atrial septal defect,,,,
Gingival erythema,,,,
Device adhesion issue,,,,
Eales' disease,,,,
Nuchal rigidity,,,,
Incorrect product dosage form administered,,,,
Viral pericarditis,,,,
Autoimmune encephalopathy,,,,
Implant site hypoaesthesia,,,,
Anal cancer,,,,
Keratitis bacterial,,,,
Low set ears,,,,
Product shape issue,,,,
Lipase abnormal,,,,
Scedosporium infection,,,,
Infusion site discharge,,,,
Catheter site erythema,,,,
Localised infection,,,,
Thinking abnormal,,,,
Pacemaker syndrome,,,,
Bacterial infection,,,,
Psychophysiologic insomnia,,,,
Growth disorder,,,,
Infusion site mass,,,,
Spinal cord herniation,,,,
Basedow's disease,,,,
Gastrointestinal examination,,,,
Colporrhaphy,,,,
Sweat gland tumour,,,,
Neutropenic infection,,,,
Ewing's sarcoma,,,,
Oesophageal perforation,,,,
Wallerian degeneration,,,,
Femoroacetabular impingement,,,,
Partial seizures with secondary generalisation,,,,
Patella fracture,,,,
Tachycardia,fast_heart_rate,,,
Mechanical ventilation,,,,
Tongue dysplasia,,,,
Dermatitis artefacta,,,,
Spinal subdural haematoma,,,,
Product label issue,,,,
Benign renal neoplasm,,,,
Gastrointestinal endoscopic therapy,,,,
Oesophageal adenocarcinoma,,,,
Erythropsia,,,,
Parvovirus B19 test positive,,,,
Mononeuritis,,,,
Chronic lymphocytic leukaemia transformation,,,,
Administration site reaction,,,,
Cardio-respiratory distress,,,,
Iris atrophy,,,,
Intentional device misuse,,,,
Pulmonary endarterectomy,,,,
Genital herpes simplex,,,,
Back injury,back_pain,,,
Hypoproteinaemia,,,,
Stenosis,,,,
Pharyngeal paraesthesia,,,,
HIV infection,,,,
Manufacturing issue,,,,
Trigger finger,,,,
Stress fracture,,,,
Biopsy prostate,,,,
Lumbar vertebral fracture,,,,
Exercise lack of,,,,
Spinal muscular atrophy,,,,
Urticaria thermal,,,,
Blast cell crisis,,,,
Epiglottic cancer,,,,
Mitral valve repair,,,,
Lymphoplasia,,,,
Uterine dilation and curettage,,,,
Carnitine deficiency,,,,
Fat redistribution,,,,
Procedural vomiting,,,,
Umbilical discharge,,,,
Left ventricular end-diastolic pressure increased,,,,
Tracheobronchitis,,,,
Oedema blister,,,,
Gastric bypass,,,,
Vertebrobasilar stroke,,,,
Insulinoma,,,,
Catheter site induration,,,,
Premenstrual dysphoric disorder,,,,
Hemiplegia,,,,
Limb deformity,,,,
Parainfluenzae virus infection,,,,
Gastrointestinal scarring,,,,
Decreased gait velocity,painful_walking,,,
Blood calcium increased,,,,
C-kit gene mutation,,,,
Pleural fibrosis,,,,
Foetal-maternal haemorrhage,,,,
Ankle impingement,,,,
Ocular icterus,,,,
Culture wound positive,,,,
Subdural effusion,,,,
Periarthritis calcarea,,,,
Multiple injuries,,,,
Spinal rod insertion,,,,
Haemoglobin distribution width increased,,,,
Differentiation syndrome,,,,
Carcinoma in situ,,,,
Pelvic deformity,,,,
Nail pitting,brittle_nails,small_dents_in_nails,small_dents_in_nails,
Neonatal infection,,,,
Vulvovaginal exfoliation,,,,
Heart transplant rejection,,,,
Hepatitis B immunisation,,,,
Puncture site bruise,,,,
Retinopathy,,,,
Pneumonia respiratory syncytial viral,,,,
Total lung capacity increased,,,,
Obstructive pancreatitis,,,,
Histamine intolerance,,,,
Choluria,,,,
Cold type haemolytic anaemia,,,,
Hyperuricosuria,,,,
Hypozincaemia,,,,
Gas gangrene,,,,
Rhinalgia,,,,
Grip strength,,,,
Testicular germ cell tumour,,,,
Chronic inflammatory demyelinating polyradiculoneuropathy,,,,
Oxygen consumption increased,,,,
Conjunctivitis viral,,,,
Sweat discolouration,,,,
Lymphangiectasia intestinal,,,,
Bladder obstruction,,,,
Adrenal gland cancer,,,,
Bladder fibrosis,,,,
Autoimmune hepatitis,,,,
Disseminated tuberculosis,,,,
Umbilical hernia repair,,,,
Social avoidant behaviour,,,,
Calcium intoxication,,,,
Muscle contractions involuntary,,,,
Viral skin infection,,,,
Asthma late onset,,,,
Papulopustular rosacea,,,,
Blood urine present,spotting_ urination,,,
Sialoadenitis,,,,
Fat necrosis,,,,
Congenital rubella syndrome,,,,
Anterior chamber fibrin,,,,
Urine iodine increased,,,,
Paresis,,,,
Coagulation factor V level abnormal,,,,
Lymphoid tissue hyperplasia,,,,
Biopsy lung,,,,
"Hallucinations, mixed",,,,
Plantar fascial fibromatosis,,,,
Tinea versicolour,,,,
Post-injection delirium sedation syndrome,,,,
Rhegmatogenous retinal detachment,,,,
Infusion site pruritus,,,,
Application site recall reaction,,,,
Blood pressure orthostatic decreased,,,,
Vena cava filter insertion,,,,
Instillation site pain,,,,
Neurogenic bowel,,,,
Thyroiditis,,,,
Fat embolism,,,,
Trisomy 21,,,,
Urethral stent insertion,,,,
Hyperglycaemia,irregular_sugar_level,,,
Hepatoblastoma recurrent,,,,
Meconium in amniotic fluid,,,,
Device alarm issue,,,,
Cerebral haematoma,,,,
Angioimmunoblastic T-cell lymphoma recurrent,,,,
Eye infection intraocular,,,,
Vagus nerve paralysis,,,,
Vaccination failure,,,,
Eye pain,,,,
Faeces discoloured,,,,
Genitourinary symptom,,,,
Catheter site paraesthesia,,,,
Ependymoma benign,,,,
Terminal state,,,,
Myocardial necrosis marker increased,,,,
Onychomadesis,,,,
Blood luteinising hormone increased,,,,
Anti-erythropoietin antibody negative,,,,
Adult T-cell lymphoma/leukaemia recurrent,,,,
Acid fast bacilli infection,,,,
Non-small cell lung cancer stage 0,,,,
Peritoneal cyst,,,,
Autoimmune colitis,,,,
Chronic hepatitis,,,,
Localised oedema,,,,
Fracture displacement,,,,
Mycobacterium avium complex immune restoration disease,,,,
Iris hyperpigmentation,,,,
Anaphylactoid shock,,,,
Prostate cancer,,,,
Intra-uterine contraceptive device insertion,,,,
Pancreatic sphincterectomy,,,,
Mean platelet volume increased,,,,
Paraneoplastic dermatosis,,,,
C3 glomerulopathy,,,,
Atypical mycobacterial lower respiratory tract infection,,,,
Sputum culture,blood_in_sputum,mucoid_sputum,,
Cancer fatigue,,,,
Haemorrhagic hepatic cyst,,,,
Subretinal fibrosis,,,,
Electrocardiogram,,,,
Cancer pain,,,,
Salt craving,,,,
Lower gastrointestinal haemorrhage,,,,
Anorectal discomfort,,,,
Encephalitis enteroviral,,,,
Complex regional pain syndrome,,,,
Medication error,,,,
Varices oesophageal,,,,
Herpes simplex test positive,,,,
Violence-related symptom,,,,
Eyelash discolouration,,,,
Pallidotomy,,,,
Limbal stem cell deficiency,,,,
Alopecia,,,,
Antipsychotic drug level increased,,,,
Fluid replacement,,,,
Abdomen crushing,,,,
Tri-iodothyronine free increased,,,,
Perineal pain,,,,
Oral hairy leukoplakia,,,,
Oesophageal motility disorder,,,,
Rectal discharge,,,,
Nail pigmentation,,,,
Fibroma,,,,
Escherichia sepsis,,,,
Toxic nodular goitre,,,,
Joint injury,,,,
Still's disease,,,,
Belligerence,,,,
Gnathoschisis,,,,
Transitional cell carcinoma urethra,,,,
Tendon operation,,,,
Acute kidney injury,,,,
Adrenomegaly,,,,
Exfoliation glaucoma,,,,
External ear inflammation,,,,
Deposit eye,,,,
Feeling hot,,,,
Computerised tomogram liver abnormal,,,,
Exposure to contaminated device,,,,
Abscess drainage,,,,
Metastases to spinal cord,,,,
Rectal adenocarcinoma,,,,
Wisdom teeth removal,,,,
Agitation,,,,
Pharyngeal disorder,,,,
Self-injurious ideation,,,,
Vaccination site reaction,,,,
Hyponatraemic syndrome,,,,
Dysgraphia,,,,
Conjunctival haemorrhage,,,,
Virilism,,,,
Urinary sediment present,,,,
Aphthous ulcer,,,,
Myoglobinuria,,,,
Somatic dysfunction,,,,
Colorectal cancer stage III,,,,
Craniopharyngioma,,,,
Mean cell volume increased,,,,
Meningomyelocele,,,,
Microphthalmos,,,,
Benign ethnic neutropenia,,,,
Osteosclerosis,,,,
Blood pressure systolic increased,,,,
Vitreous opacities,,,,
Inflammatory carcinoma of the breast,,,,
Exfoliative rash,,,,
Small intestinal anastomosis,,,,
Pancreatic failure,,,,
Intraocular melanoma,,,,
Skin procedural complication,,,,
Malignant neoplasm of renal pelvis,,,,
Inguinal mass,,,,
Viral sinusitis,sinus_pressure,pain_behind_the_eyes,,
Preterm premature rupture of membranes,,,,
Dyspareunia,,,,
Gastrointestinal dilation procedure,,,,
Implant site warmth,,,,
Lower respiratory tract congestion,,,,
Embolic cerebral infarction,,,,
Clonic convulsion,,,,
JC polyomavirus test positive,,,,
Rash pruritic,,,,
Blood thyroid stimulating hormone,,,,
Thirst decreased,,,,
Plicated tongue,,,,
Colorectal cancer stage II,,,,
Nephrogenic anaemia,,,,
Reticulocytopenia,,,,
Uterine rupture,,,,
Oesophageal variceal ligation,,,,
Vitamin B12 abnormal,,,,
Human immunodeficiency virus transmission,,,,
JC polyomavirus test,,,,
Procedural haemorrhage,,,,
Drug reaction with eosinophilia and systemic symptoms,,,,
Thromboangiitis obliterans,,,,
Colon cancer metastatic,,,,
Septic shock,,,,
Skull fractured base,,,,
Impaired gastric emptying,,,,
Glare,,,,
Hyperthermia malignant,,,,
Silent thyroiditis,,,,
Glomerulonephritis acute,,,,
Blood testosterone abnormal,,,,
Early retirement,,,,
Gastrointestinal examination abnormal,,,,
Diffuse large B-cell lymphoma,,,,
Sarcoidosis,,,,
Product counterfeit,,,,
Cardiac procedure complication,,,,
Nail toxicity,,,,
Laryngeal dyspnoea,,,,
Appendicitis noninfective,,,,
Blood folate increased,,,,
Renal cancer stage I,,,,
Eye abscess,,,,
Paraneoplastic syndrome,,,,
Cardiac valve thickening,,,,
Bone marrow toxicity,,,,
Nail bed inflammation,small_dents_in_nails,,,
Clot retraction,,,,
Amniotic fluid volume decreased,,,,
Diastasis recti abdominis,,,,
Central nervous system leukaemia,,,,
Benign spleen tumour,,,,
Palpable purpura,,,,
Disseminated large cell lymphoma,,,,
Implant site haemorrhage,,,,
Gastric mucosal lesion,,,,
Deafness transitory,,,,
Anal polyp,,,,
Eosinophilic bronchitis,,,,
Infusion site hypertrophy,,,,
Urine output increased,,,,
Hyperparathyroidism primary,,,,
Intestinal dilatation,,,,
Cytomegalovirus gastrointestinal ulcer,,,,
Ovarian hyperstimulation syndrome,,,,
Suicide attempt,,,,
Neonatal pneumonia,,,,
Ichthyosis,,,,
Chronic lymphocytic leukaemia,,,,
Infusion site discolouration,,,,
Lafora's myoclonic epilepsy,,,,
Abortion spontaneous incomplete,,,,
Hypogonadism female,,,,
Congestive cardiomyopathy,,,,
Intracranial pressure increased,,,,
Neuroleptic malignant syndrome,,,,
Catheter site bruise,,,,
Lip pruritus,,,,
Hyperbilirubinaemia,,,,
Mycobacterium avium complex infection,,,,
Congenital coronary artery malformation,,,,
Abdominal wall cyst,,,,
Stitch abscess,,,,
Blood proinsulin increased,,,,
Drug half-life increased,,,,
Mucosal dryness,,,,
Eosinophil count,,,,
Electrocardiogram U wave present,,,,
Central nervous system inflammation,,,,
Therapy interrupted,,,,
Brown-Sequard syndrome,,,,
PaO2/FiO2 ratio decreased,,,,
Immune-mediated neuropathy,,,,
Aqueductal stenosis,,,,
Lymphoedema,swelled_lymph_nodes,,,
Breast enlargement,,,,
Bacteroides test positive,,,,
Pulmonary malformation,,,,
Foraminotomy,,,,
Alkalosis hypochloraemic,,,,
Cutaneous T-cell lymphoma recurrent,,,,
Ophthalmological examination,,,,
Carotid pulse increased,,,,
Ischaemic stroke,,,,
Infestation,,,,
Viral tracheitis,,,,
Bronchioloalveolar carcinoma,,,,
Deep brain stimulation,,,,
Product intolerance,,,,
Perineal fistula,,,,
Extra dose administered,,,,
Myoglobin blood increased,,,,
Eyelid tumour,,,,
Administration site atrophy,,,,
Diabetic ketoacidosis,,,,
POEMS syndrome,,,,
Cavernous sinus syndrome,,,,
Vogt-Koyanagi-Harada disease,,,,
Bone fragmentation,,,,
Viral haemorrhagic cystitis,,,,
Metastatic neoplasm,,,,
Basilar artery occlusion,,,,
Exeresis,,,,
Cholestasis of pregnancy,,,,
Amphetamines positive,,,,
Papilloma excision,,,,
Malignant ascites,,,,
Donor specific antibody present,,,,
Candida pneumonia,,,,
Mycobacterium abscessus infection,,,,
Oesophageal candidiasis,,,,
Blood cholesterol increased,,,,
Suture rupture,,,,
Hepatitis viral,,,,
Drug titration,,,,
Electrocardiogram normal,,,,
Rheumatoid factor quantitative increased,,,,
Perivascular dermatitis,,,,
Medulloblastoma recurrent,,,,
Influenza A virus test,,,,
Shoplifting,,,,
Pneumonia escherichia,,,,
Skin burning sensation,,,,
Cardiovascular symptom,,,,
Uterine cyst,,,,
Pulmonary aplasia,,,,
Sinonasal obstruction,,,,
T-cell lymphoma,,,,
Retinal pigment epitheliopathy,,,,
Alkalosis,,,,
Cardiac failure high output,,,,
Testis discomfort,,,,
Cartilage injury,,,,
Stiff person syndrome,movement_stiffness,,,
Respiratory arrest,,,,
Citrobacter sepsis,,,,
Spigelian hernia,,,,
Amoebiasis,,,,
Telangiectasia,,,,
Pulmonary pain,,,,
Connective tissue disorder,,,,
Thyroid pain,,,,
Right ventricular enlargement,,,,
Dawn phenomenon,,,,
Complication of pregnancy,,,,
Malignant biliary obstruction,,,,
Tumour ulceration,,,,
Liver prolapse,,,,
Douglas' abscess,,,,
Emotional disorder,,,,
Herpes simplex pneumonia,,,,
Signet-ring cell carcinoma,,,,
Type III immune complex mediated reaction,,,,
Conjunctival pigmentation,,,,
Blood pH increased,,,,
Intestinal polyp,,,,
Body height increased,,,,
Alanine aminotransferase decreased,,,,
Lack of spontaneous speech,slurred_speech,,,
Metastatic gastric cancer,,,,
Incision site oedema,,,,
Mitral valve replacement,,,,
Hepatitis B surface antigen,,,,
Keratic precipitates,,,,
Kidney enlargement,,,,
Medical device site swelling,,,,
Lung induration,,,,
Mixed liver injury,,,,
Drug metabolising enzyme decreased,,,,
Ultrasound foetal abnormal,,,,
Bronchiectasis,,,,
Pulmonary hypertension,,,,
Hepatitis syphilitic,,,,
Smallpox,,,,
Perineal ulceration,,,,
Carotid arteriosclerosis,,,,
Tympanic membrane disorder,,,,
Hair disorder,,,,
Intestinal mucosal hypertrophy,,,,
Medical device site scab,,,,
Osteochondrosis,,,,
Fistula inflammation,,,,
Radial nerve palsy,,,,
Hepatic amyloidosis,,,,
Haemophagocytic lymphohistiocytosis,,,,
Metastases to skin,,,,
HIV-associated neurocognitive disorder,,,,
Dysphagia,,,,
Rectal injury,,,,
Hodgkin's disease stage III,,,,
Encephalitis protozoal,,,,
Juvenile idiopathic arthritis,,,,
Calculus urethral,,,,
Antiviral drug level below therapeutic,,,,
Blood immunoglobulin A abnormal,,,,
Medical device site erosion,,,,
Autoscopy,,,,
Escherichia infection,,,,
Hip surgery,,,,
Atrial tachycardia,,,,
Patent ductus arteriosus repair,,,,
Electrocardiogram T wave inversion,,,,
Placental insufficiency,,,,
Potentiating drug interaction,,,,
Respiratory syncytial virus bronchitis,,,,
Incorrect drug administration rate,,,,
Rebound psychosis,,,,
B-cell small lymphocytic lymphoma,,,,
NIH stroke scale abnormal,,,,
Retinal artery embolism,,,,
Cerebral fungal infection,,,,
Neonatal tachycardia,fast_heart_rate,,,
Liver function test abnormal,,,,
Epithelioid mesothelioma,,,,
Alexithymia,,,,
Gross motor delay,,,,
Mesenteric artery thrombosis,,,,
Subchorionic haematoma,,,,
Pleural mesothelioma malignant,,,,
Fallopian tube cancer stage III,,,,
Sphincter of Oddi dysfunction,,,,
Epidermolysis,,,,
Rectal prolapse repair,,,,
Feeling of relaxation,,,,
Ejaculation failure,,,,
Osteocalcin increased,,,,
Premature baby death,,,,
Oesophageal achalasia,,,,
Retinal deposits,,,,
Genital tract inflammation,,,,
Viral acanthoma,,,,
Chronic respiratory failure,,,,
Hypoparathyroidism secondary,,,,
Mucocutaneous candidiasis,,,,
Tumour fistulisation,,,,
International normalised ratio,,,,
Bone marrow failure,,,,
Cryptococcus test positive,,,,
Osteoma,,,,
Pneumaturia,,,,
Ankle operation,,,,
Respiratory tract inflammation,,,,
Labelled drug-food interaction medication error,,,,
Congenital tracheomalacia,,,,
Infectious thyroiditis,,,,
Forced expiratory volume decreased,,,,
Acquired porokeratosis,,,,
Chest pain,chest_pain,,,
Phobia,,,,
Inguinal hernia perforation,,,,
Skin ulcer,,,,
Sensation of blood flow,,,,
Epidermodysplasia verruciformis,,,,
Myomectomy,,,,
Forced expiratory flow decreased,,,,
Viral load increased,,,,
Menopausal disorder,,,,
Cast removal,,,,
Autoimmune haemolytic anaemia,,,,
Pulmonary capillary haemangiomatosis,,,,
Autoantibody test,,,,
Leiomyoma,,,,
Bladder dysplasia,,,,
Disseminated varicella zoster vaccine virus infection,,,,
Instillation site coldness,,,,
Enterovesical fistula,,,,
Granuloma skin,,,,
Haemoptysis,,,,
Tongue disorder,,,,
Urinary tract procedural complication,,,,
Rheumatoid factor negative,,,,
Intraocular pressure test,,,,
Nail growth abnormal,small_dents_in_nails,,,
Monoplegia,,,,
Abscess rupture,,,,
No adverse event,,,,
Haemolytic anaemia,,,,
Salivary gland pain,,,,
Metatarsalgia,,,,
Urinary cystectomy,,,,
Neurogenic shock,,,,
Hypoglycaemia,irregular_sugar_level,,,
Electronic cigarette user,,,,
Acidosis,,,,
Amnestic disorder,,,,
Scleroderma,,,,
Genital ulceration,,,,
Muscle hypoxia,,,,
Soft tissue sarcoma,,,,
Vascular pain,,,,
Accidental death,,,,
Rectosigmoid cancer,,,,
Enterobiasis,,,,
Radiation associated pain,,,,
Parasite stool test positive,,,,
Tumour obstruction,,,,
Implantable defibrillator replacement,,,,
Splenic calcification,,,,
Retinitis pigmentosa,,,,
Crystalluria,,,,
Arteritis coronary,,,,
Myiasis,,,,
Emotional disorder of childhood,,,,
Tongue blistering,blister,,,
Gingival atrophy,,,,
Sitting disability,,,,
Netherton's syndrome,,,,
Vitamin B1 deficiency,,,,
Taeniasis,,,,
Haemobilia,,,,
Pre-existing disease,,,,
Cranial nerve disorder,,,,
Hepatic cirrhosis,,,,
Ophthalmoplegia,,,,
Acquired claw toe,,,,
Vein discolouration,,,,
Peritoneal haematoma,,,,
Enterocele,,,,
Ovarian cyst,,,,
Corneal defect,,,,
Renal vascular thrombosis,,,,
Dysentery,,,,
Hepatocellular carcinoma,,,,
Osteopenia,,,,
Intramedullary rod insertion,,,,
Removal of foreign body,,,,
Lip erosion,,,,
Burning mouth syndrome,,,,
Functional residual capacity increased,,,,
Necrotising colitis,,,,
Diabetic nephropathy,,,,
Catheter site pustule,,,,
Phospholipidosis,,,,
Karyotype analysis abnormal,,,,
Anal fistula infection,,,,
Post procedural stroke,,,,
Ectropion,,,,
Haemoglobin urine,spotting_ urination,,,
Pharyngotonsillitis,,,,
Salpingo-oophorectomy bilateral,,,,
Nodular rash,,,,
Periostitis,,,,
Large intestinal obstruction,,,,
Nonspecific reaction,,,,
Ureteric dilatation,,,,
Fibrosis,,,,
Arthritis,knee_pain,joint_pain,,
Congenital aortic stenosis,,,,
Administration site odour,,,,
Tumour marker abnormal,,,,
Eczema herpeticum,,,,
Concussion,,,,
Lipomatosis,,,,
Uterine leiomyoma,,,,
Serum serotonin decreased,,,,
Left atrial enlargement,,,,
Bone tuberculosis,,,,
Influenza virus test,,,,
Galactostasis,,,,
Bartholin's cyst,,,,
Foetal distress syndrome,,,,
Radical cystectomy,,,,
Aortic stenosis,,,,
Capnogram abnormal,,,,
Myopathy,weakness_in_limbs,,,
Liver sarcoidosis,,,,
Hepatic candidiasis,,,,
Exposure to extreme temperature,,,,
Nasal mucosal discolouration,,,,
Bronchial mucosa hyperaemia,,,,
Blood lactic acid,,,,
Brain stem syndrome,,,,
Periorbital cellulitis,,,,
Stoma site reaction,,,,
Diverticulum intestinal haemorrhagic,,,,
Cyst,,,,
Rebound eczema,,,,
Medical device site joint pain,,,,
Congenital foot malformation,,,,
Adrenal calcification,,,,
Tongue movement disturbance,,,,
Splenic vein occlusion,,,,
Genital atrophy,,,,
Upper airway resistance syndrome,,,,
Amyotrophy,,,,
Cardiomegaly,,,,
Jaw disorder,,,,
Injection site fibrosis,,,,
Catheter site injury,,,,
Vulvovaginal disorder,,,,
Pigmentation disorder,,,,
Neurotoxicity,,,,
Multiple organ dysfunction syndrome,,,,
Chloasma,,,,
Duodenostomy,,,,
Oedema due to hepatic disease,,,,
Spinal subarachnoid haemorrhage,,,,
Scar excision,,,,
Near drowning,,,,
Gangrene,,,,
Ulcerative duodenitis,,,,
Wound complication,,,,
Rash macular,,,,
Polycystic liver disease,,,,
Alanine aminotransferase increased,,,,
Femur fracture,,,,
Muscle strain,muscle_pain,,,
Palindromic rheumatism,,,,
Otitis media staphylococcal,,,,
Cholecystocholangitis,,,,
Breast pain,,,,
Tension,,,,
Reaction to azo-dyes,,,,
Exposure via father,,,,
Infarction,,,,
Chemical phlebitis,,,,
Tri-iodothyronine increased,,,,
Pulmonary artery dilatation,,,,
Disseminated strongyloidiasis,,,,
Tongue necrosis,,,,
Penile prosthesis insertion,,,,
Tooth abscess,,,,
Haemodynamic instability,,,,
Beta 2 microglobulin urine increased,,,,
Sluggishness,,,,
Epidermolysis bullosa,,,,
Cervix injury,,,,
Ventricular extrasystoles,,,,
Steroid withdrawal syndrome,,,,
Allergy to chemicals,,,,
Parasitic gastroenteritis,,,,
Macrognathia,,,,
Increased upper airway secretion,,,,
Twin pregnancy,,,,
Spleen operation,,,,
Penile size reduced,,,,
Eastern Cooperative Oncology Group performance status worsened,,,,
Viral rhinitis,,,,
Mechanical urticaria,,,,
Tender joint count,,,,
Mania,,,,
Physical disability,,,,
Prolapse repair,,,,
Tongue atrophy,,,,
Eyelid injury,,,,
5-alpha-reductase deficiency,,,,
Pituitary enlargement,,,,
Cholesteatoma,,,,
Chylothorax,,,,
Bed rest,,,,
Urea urine decreased,,,,
Aura,visual_disturbances,,,
Congenital knee deformity,,,,
Vaginal perforation,,,,
Ileal ulcer,,,,
Thalassaemia minor,,,,
Teratospermia,,,,
Guillain-Barre syndrome,,,,
Impetigo,,,,
Carbohydrate antigen 125 increased,,,,
Human seminal plasma hypersensitivity,,,,
Oesophageal squamous cell carcinoma,,,,
Visual field defect,,,,
Dental restoration failure,,,,
Choreoathetosis,,,,
Glaucoma surgery,,,,
Cerebrospinal fluid leakage,,,,
Onychalgia,,,,
Confabulation,,,,
CSF culture positive,,,,
Occupational exposure to product,,,,
Threatened labour,,,,
Product barcode issue,,,,
Neurofibroma,,,,
Spinal flattening,,,,
Autoimmune lung disease,,,,
Pneumonitis,,,,
Mastoiditis,,,,
Rash vesicular,,,,
Richter's hernia,,,,
Gastrointestinal arteriovenous malformation,,,,
Sodium retention,,,,
Ultrasound kidney abnormal,,,,
Abnormal labour,,,,
Sex hormone binding globulin decreased,,,,
Helicobacter test negative,,,,
Unevaluable specimen,,,,
Viral load,,,,
Perichondritis,,,,
Supraventricular tachyarrhythmia,,,,
Pulmonary artery stenosis congenital,,,,
Bladder spasm,,,,
Genital hypoaesthesia,,,,
Feeling drunk,,,,
Low density lipoprotein abnormal,,,,
Pectus carinatum,,,,
Hodgkin's disease nodular sclerosis stage II,,,,
Brain lobectomy,,,,
Endometrial cancer stage III,,,,
Pain of skin,,,,
Sarcomatoid carcinoma,,,,
Feeling of body temperature change,,,,
Subdural abscess,,,,
Product package associated injury,,,,
Oral mucosal roughening,,,,
Mucocutaneous leishmaniasis,,,,
Yellow skin,yellowish_skin,,,
Cutis laxa,,,,
Subclavian artery occlusion,,,,
Anti-thyroid antibody,,,,
Skin squamous cell carcinoma recurrent,,,,
Lip dry,drying_and_tingling_lips,,,
Self-consciousness,,,,
Iridocele,,,,
Propionibacterium infection,,,,
Breast cancer stage IV,,,,
Hip arthroplasty,,,,
Brain hypoxia,,,,
Infective aneurysm,,,,
Hereditary motor and sensory neuropathy,,,,
